,number,text,label
210,209.0, please shut ontario seeing conservatives stand helping loose province never going anywhere way completely tune OFFENSIVE mr harper oops mean mr scheer common mistake much alike,NOT
211,210.0, alone OFFENSIVE assaulted fellow law student never reported think would believed however something happened made realize victim felt would made colossal mistake,NOT
212,211.0, liberals,NOT
213,212.0, another OFFENSIVE OFFENSIVE reported msm,NOT
214,213.0, dont know imma,NOT
215,214.0, money made u smarter,OFF
216,215.0, yes gilmer makes laugh much,NOT
217,216.0, u r lifeline,NOT
218,217.0, always thought h ford level headed guy guess note ford climate change summer fall winter spring happens every year get,NOT
219,218.0, yeah need made OFFENSIVE protestors antifa lol time epic beatdown,OFF
220,219.0, unfortunately right keep real OFFENSIVE OFFENSIVE,NOT
221,220.0, real rocky oh OFFENSIVE,NOT
222,221.0, thank everyone making possible amazing beautiful bears member olivers army appreciate everything make lives better,NOT
223,222.0, yeah got everything sorted needed sorted still taking small sips wine unusual emily guessed jj profile,NOT
224,223.0, way move haiti liberals seem make OFFENSIVE holes large cities go somewhere already OFFENSIVE OFFENSIVE work,OFF
225,224.0, yes,NOT
226,225.0, tried went nowhere pro OFFENSIVE control done,NOT
227,226.0, could OFFENSIVE many hunting rifle time vantage close hour police entered room actual OFFENSIVE min making OFFENSIVE control going get people OFFENSIVE need smarter,NOT
228,227.0, aha yes see individual sense needing belong winning team constant conditioning self devaluation see strong sense q side left hillary antifa side well regardless think winning,NOT
229,228.0, oh know know talking see tweet repling lol,NOT
230,229.0, another demonstration OFFENSIVE free zones work brought OFFENSIVE likely supports stricter OFFENSIVE control,NOT
231,230.0, OFFENSIVE grabbing one wearing gloves handling food maga,OFF
232,231.0, plan environment even conservatives able understand able live planet make money,NOT
233,232.0, happens tell white liberals get congratulate woke put money mouth simple fact life breaks brains,NOT
234,233.0, antifa beat facsists try get change mind know lost cause try change fascist mind scare hiding demoralize stop spread hateful ideology forcing views others,OFF
235,234.0, soros root everything anything anti OFFENSIVE money hollywood way islam antifa illegals,NOT
236,235.0, firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump,OFF
237,236.0, truly got idiotic thing ever seen,OFF
238,237.0, brigitte gabriel experienced life would nightmares sounding alarm americans buy book pay attention warning america,NOT
239,238.0, work want control population OFFENSIVE OFFENSIVE control effect homicides,OFF
240,239.0, poor baby,NOT
241,240.0, antifa democrats dixiecrats OFFENSIVE,NOT
242,241.0, liberals ruin everything,OFF
243,242.0, forget telling primarily OFFENSIVE OFFENSIVE audience conservatives want put back chains,NOT
244,243.0, sad exploited also reputation destroyed read part antifa,NOT
245,244.0, happens let OFFENSIVE get hold OFFENSIVE would good place start OFFENSIVE control ban liberals getting guns,OFF
246,245.0, look happy maga,OFF
247,246.0, trump proposes OFFENSIVE profiling tactic start thinking,NOT
248,247.0, introducing sweet sweet baby king always sooo nice try sit sofa never attacks,NOT
249,248.0, gone tho inputed bottom top first seconds tweet good tmart,NOT
250,249.0, exactly record basically saying president law noted gop fine rudy issues,NOT
251,250.0, kamalaharris new dem emperor clothes taxpayers funded unprecedented armed protection OFFENSIVE control sen kamala harris via,NOT
252,251.0, yet OFFENSIVE,OFF
253,252.0, plenty evidence guilty hill accused since conf hearings guilty innocence got bench times diff journalist call white supremacy alt right antifa pick,NOT
254,253.0, understand capablities despite proof economy hypothesis lied liberals entire life believing told OFFENSIVE media made bill clinton look good could trump,NOT
255,254.0, oath must subpoenaed testify lifetime appointment stake please right time amp allow orrin hatch already made mind lying allowed question kind questions could invite lawsuit,NOT
256,255.0, best,NOT
257,256.0, joke gem alright OFFENSIVE phony right along OFFENSIVE phony thinks follow second account block speak truth could care less follower like big party care discriminate,OFF
258,257.0, indeed,NOT
259,258.0, little concerned q followers slowly become sort right wing sjw antifa thingie also excuse horrible english native languase much schooling sorry sucks,NOT
260,259.0, yep antifa literally OFFENSIVE,NOT
261,260.0, wow hot,NOT
262,261.0, deserving woman happy,NOT
263,262.0, noticed lot conservatives thoroughly disingenuous engaging twitter,NOT
264,263.0, may forgotten moment eu citizens rights afforded us eu citizens believe OFFENSIVE goes head,OFF
265,264.0, modelling plenty women make OFFENSIVE tons money looking good,NOT
266,265.0, watching horizon show scientists discovered dna mix humans neanderthals would thought trump getting elected would proof enough maga,NOT
267,266.0, hope way watch tv ted spanking liberals always enjoyable,NOT
268,267.0, looked work history listed board leading age services aust lasa comes medicare local alliance ever OFFENSIVE,OFF
269,268.0, look mirror,NOT
270,269.0, sure,NOT
271,270.0, send party manifesto promised help families maybe remind duties hostileenvironment priceonlove skypefamilies,NOT
272,271.0, families separated border fact picture children cages liberals using show evil trump actually taken obama president,NOT
273,272.0, antifa people,NOT
274,273.0, peoples vote june people rejected craven worship stand majority contemptuously defying people amp ge manifesto amp supporting soros undermining democracy instead,NOT
275,274.0, cause OFFENSIVE playing OFFENSIVE aint give gift nothing,OFF
276,275.0, free bird return OFFENSIVE homeland,NOT
277,276.0, mom speaks phone compose text brother OFFENSIVE yells phone telling type like brother able tell even yelling,NOT
278,277.0, melting snow flakes,NOT
279,278.0, victim OFFENSIVE seen liberals turned kavanaughs hearings circus first minute started,NOT
280,279.0, coming man threatened try kick turmps OFFENSIVE take set ball,OFF
281,280.0, shocked hear liberals want centralize power federal level,NOT
282,281.0, best best,NOT
283,282.0, whatilearnedtoday liberals win without lying,NOT
284,283.0, fast furious holder lol,NOT
285,284.0, getting scared ugly man,OFF
286,285.0, one shows progressive stand watch dislikes right left evenly know right start never seen show check youtube insightful maga,NOT
287,286.0, supreme court worthy,NOT
288,287.0, OFFENSIVE hope,NOT
289,288.0, yes,NOT
290,289.0, OFFENSIVE,OFF
291,290.0, amp terroism amp starvation amp flint amp OFFENSIVE amp climate change amp global warming amp OFFENSIVE trafficking amp bullying amp body shaming amp police brutality amp feminism amp OFFENSIVE control amp marches amp protests,OFF
292,291.0, ca prove causation either conservatives cda surely love idea bashing pm ca help think also egging former continue bashing boost fortune vainly,NOT
293,292.0, OFFENSIVE men picture men age law makers old sorry young republicans like young conservatives born years age,NOT
294,293.0, liberals meme sense humor knowledge meme ing philosophy,NOT
295,294.0, stunning,NOT
296,295.0, yea OFFENSIVE right getting smacked,OFF
297,296.0, focus proud boys know real journalist kelly focus ones OFFENSIVE antifa want story focus journalists leftist activists constantly ignoring antifa attacks people,NOT
298,297.0, hahaha big thighs going make,OFF
299,298.0, called educating liberals,NOT
300,299.0, maga christineford trump tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater imperative make pattern revolting behavior clear piece painful piece indeed,OFF
301,300.0, maga people low iq gdp growth means literally nothing way translate higher income white familes individuals billions goes companies government jobs create labour pays less living wage lmao,OFF
302,301.0, wonna get paid pick energy people scream shout like kavanaugh hearing,NOT
303,302.0, bro go watch hold backwood interview like OFFENSIVE irritating lmao OFFENSIVE OFFENSIVE suspicious,OFF
304,303.0, OFFENSIVE built like could beat OFFENSIVE wants,OFF
305,304.0, trash,NOT
306,305.0, pathetic man,OFF
307,306.0, new psychology thinker think religion aggressive thought deeply think hinduism,NOT
308,307.0, shouldve played saint marie instead london docks saint OFFENSIVE,NOT
309,308.0, thank goodness mn passive aggressive love,NOT
310,309.0, empty prisons also say broke laws OFFENSIVE logic,NOT
311,310.0, angel much love,NOT
312,311.0, asking arrest liberals butthurt months impeachable offense,NOT
313,312.0, tolerant left,NOT
314,313.0, must talking hateful conservatives,OFF
315,314.0, thats correct maga,OFF
316,315.0, show single case antifa actually murdered someone far right murdered someone charlottesville hypocrisy works ways,NOT
317,316.0, bobby fit thats exactly would say sure,NOT
318,317.0, white people thank OFFENSIVE republicans amp ex crackheads say america hating liberals christians many ex dems thank OFFENSIVE amp many former emmys watchers thank OFFENSIVE daily country amp ability turn,NOT
319,318.0, skip realize saying become professional tweeter kind OFFENSIVE sports casters many td receptions skip year,NOT
320,319.0, leftist wrong OFFENSIVE colleges ppl students come unmask corrupt woman determined OFFENSIVE good judge wants liberals courts,OFF
321,320.0, feeling touch first time,NOT
322,321.0, great mark great one levin candace great owens together team unbeatable sent liberals frenzy whole block OFFENSIVE voters heads explode sadly alyssa milano wet pants great team,OFF
323,322.0, stratadata ai data hairball tdavis touring application cognitive machinelearning techniques speed governance data,OFF
324,323.0, grossly misinterpreting people across parties condemn action look bill davis brian mulroney see even conservatives think horrible decision,NOT
325,324.0, proposing scare tactics really meant said trump easily pull good maga republicans easily steal enough votes gop dem independents bring fresh breath rotten politics think,OFF
326,325.0, OFFENSIVE would support OFFENSIVE spent million get liberals elected office libfail,OFF
327,326.0, notice everyone avoids tweet might think referring comrade stalk everyone,NOT
328,327.0, weirdly vicious bitter extrapolate everyone access decent healthcare liberals think OFFENSIVE free reveals pretty brutalist impenetrable mind,OFF
329,328.0, OFFENSIVE game watching,OFF
330,329.0, grown,NOT
331,330.0, health amp nature threat OFFENSIVE us,NOT
332,331.0, kavanaugh need terms guilty people ones need terms let clue worried going make terrible impression believable trying manage concern,NOT
333,332.0, perpetuate colonialism going talk puertorico must puerto ricans panel jeezuz OFFENSIVE OFFENSIVE difficult di sporaenresistencia,NOT
334,333.0, anonymous message antifa q qanon thegreatawakening commieclowns resistancerises resistance,NOT
335,334.0, antifa place society,NOT
336,335.0, two votes home west texas stoked inspiring,NOT
337,336.0, liberals trashy,OFF
338,337.0, grape,NOT
339,338.0, hello somebody need hyukjae danger watching fancams,NOT
340,339.0, never show much intelligence,NOT
341,340.0, yes saw say tapper kept basket kept coming back OFFENSIVE answers finally gave think big fan policies OFFENSIVE please,OFF
342,341.0, go anything OFFENSIVE head,OFF
343,342.0, sure thinking,NOT
344,343.0, guy guy looks like sheila qanon maga greatawakening crocodile dundee,NOT
345,344.0, problem go back fast furious proof atf looking influence OFFENSIVE control us may preposterous government would fake sandy OFFENSIVE facilitating OFFENSIVE war somewhat similar,NOT
346,345.0, need know empty inside,OFF
347,346.0, oh dear sorry migraine well sending prayers,NOT
348,347.0, sister far kindest sweetest person alive use grandma passed may woman saint even song written mom saint written children course,NOT
349,348.0, liberals mentally unstable,OFF
350,349.0, authorized search warrant mr jean home OFFENSIVE OFFENSIVE test premediated OFFENSIVE slandered victim,OFF
351,350.0, would line putz know conservatives think,NOT
352,351.0, dude r u trolling ash rock z guy hurry see bjp govt state,NOT
353,352.0, said always praying even tho anything sure heart broken well events,NOT
354,353.0, one active threat could shot driving need OFFENSIVE control idea threat exists hypothetical excuse carry big scary OFFENSIVE,NOT
355,354.0, get life,NOT
356,355.0, containers hurricane donations found rotting puerto rico parking lot,NOT
357,356.0, followed fantastic maga patriots look forward following back thank amp wonderful day,NOT
358,357.0, OFFENSIVE rate america similar countries strict OFFENSIVE control use u k jumping cliffs bridges common method,NOT
359,358.0, joining antifa,NOT
360,359.0, apparently durbin amnesia,NOT
361,360.0, canada regulated firearms since last quarter th century laws probably contributed canada many handguns circulation us,NOT
362,361.0, heard making waves,OFF
363,362.0, anita hill versus clarence thomas hope confirmation process end result maga,NOT
364,363.0, boi,NOT
365,364.0, rd time teacher career parent tell praying always consider win teacherlife prayalloftheprayers,NOT
366,365.0, welcome whysjamescryin,NOT
367,366.0, funny watching liberals sudden transparent warner problems leaks truth issues people big trouble warner likely one,NOT
368,367.0, brown like,NOT
369,368.0, ladies always make smile know mean,NOT
370,369.0, thursdaythoughts OFFENSIVE liberals forever,OFF
371,370.0, scalp custer,NOT
372,371.0, proven OFFENSIVE control laws intended disarm law abiding citizens subvert OFFENSIVE care OFFENSIVE laws,OFF
373,372.0, nothing abusive ever done anyone including women people country putting horrible stress worrying going easy says agree gabby,NOT
374,373.0, mxm OFFENSIVE thinks give OFFENSIVE,OFF
375,374.0, fake vote wants sympathy,OFF
376,375.0, ask antifa one like amp respect,NOT
377,376.0, kids different women OFFENSIVE jobless men OFFENSIVE men OFFENSIVE,OFF
378,377.0, banning ammunition guns still legal instate OFFENSIVE control keep watch firearms,NOT
379,378.0, dont anything trump conservatives refuse trade business,NOT
380,379.0, got signing book cute,NOT
381,380.0, russian agent disgrace hey old creep going OFFENSIVE prison trump sold america russians time time years OFFENSIVE scumbag,OFF
382,381.0, wow salinsky tactics,NOT
383,382.0, insanely ridiculous OFFENSIVE,OFF
384,383.0, nhs way populated country conservatives privertised nhs buys,NOT
385,384.0, surprised pigs worked neonazis unmask antifa protestors local coverage OFFENSIVE journos like cover rely investigative coverage,OFF
386,385.0, OFFENSIVE control anyone disarmhate,NOT
387,386.0, OFFENSIVE control practice reading comprehension first,NOT
388,387.0, beginning believe liberals sociopaths none people believe rule law evidence OFFENSIVE go confirmbrettkavanaughnow,NOT
389,388.0, americans lazy vote non voters skew OFFENSIVE many liberals vote throw vote away rd party losers next question,OFF
390,389.0, ca wait see maga tat across chest picture mueller,NOT
391,390.0, sure call gated community private security firm bull connors though funny liberals love privatization police,OFF
392,391.0, wonder many children molested,OFF
393,392.0, amazing admire much always able raise ugliness amp hatred show us grace,NOT
394,393.0, oh england views OFFENSIVE control stopped mattering,OFF
395,394.0, antifa party amp sudden expect us believe care anyone besides nope,OFF
396,395.0, antifa caught guard getting confronted last person via,NOT
397,396.0, ouch,OFF
398,397.0, wonder apologized diamond silk calling minstrel show fired making faces,OFF
399,398.0, awesome kavanaugh shake OFFENSIVE control dads hand sorry OFFENSIVE OFFENSIVE OFFENSIVE future judges fault happened omg white people cities silly,OFF
400,399.0, john podesta spirit cooking pedo photo valerie jarrett rather compromising situation maga qanon drainthedeepstate draintheswamp,OFF
401,400.0, somebody terrified happen OFFENSIVE public knows truth drainthedeepstate maga trump kag,NOT
402,401.0, love way OFFENSIVE liberals,OFF
403,402.0, bet still sloane pretty awesome,NOT
404,403.0, auto correct gggrrr crazy witch,OFF
405,404.0, turned speech sounded like liberals becoming another OFFENSIVE party personal attacks various individuals,OFF
