,text,label
112,many dumb arguments gun control may dumbest common,OFF
113,idk going,NOT
114,yall need chill really abysmal nd half rizzo abysmal st half baseball happens things still needs work yes power numbers dropped yes could bounce back anytime,NOT
115,dude old lmao ps go pack go,NOT
116,trump supporters ca even wear hat without abused meet animals left attack antifa branch communist socialist nazis democrat party,NOT
117,laughs gotten enough,NOT
118,well,NOT
119,first even pizza panera,NOT
120,please kill antifa hand,OFF
121,see shanahan say spoon healthy game obviously excuses maybe doom sort thing seemed game maybe still pretty good,NOT
122,good girl,NOT
123,ugly black hearted troll,OFF
124,clearly pokemon master almost rare candy alone legacy moveset pokemon depends like keep collection pieces value game,NOT
125,dont believe hype,OFF
126,followed new maga please follow back,NOT
127,protests reported sunderland except football fan one flag says westbrom getting worse even type maga mega mbga mcga conservatives patriots muslims farleft leftists doomed lose realises civilwar soon,NOT
128,liberals would still vote claim comments taken context still man integrity,NOT
129,saved maga,OFF
130,bringing honor decency yoyo picture rich,NOT
131,good riddance,NOT
132,goddess,NOT
133,omg xd worst best case best cuase made laught part asking dead hurts poor thing rest standin like nope suffering dead yeah pretty dead,NOT
134,probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies st century,OFF
135,see may light even last election conservatives split coming tory partyvery soon,NOT
136,get damn haters deleting ig reason,OFF
137,think canadian liberals actually blame trudeau costs per standard push us,NOT
138,warned everyone josh gordon last months daily basis sure shocked transpired today,NOT
139,ca liberals read read,NOT
140,sjshsj thats job bitch,OFF
141,discuss haiti,NOT
142,part collusion get dumocrat,OFF
143,skilled,NOT
144,amazing,NOT
145,fist pump troops,NOT
146,reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters,OFF
147,let leftist democrats riot streets antifa counterparts,OFF
148,thought canada strict gun control help understand happening,NOT
149,want following people like conservatives sickening biased twitter management twitterleftbias,NOT
150,life tho,NOT
151,important midterms get word democrats want people color believe support know false word spread even need know maga naacp,NOT
152,antifa giving death threats professor ford threatening violence candidate loses spanky impeached,OFF
153,seen listened antifa pals,NOT
154,case antifa take little bat something good kind thing,NOT
155,titles scare little bit,NOT
156,gt eradicating hiv malaria middle africa good bloody luck,NOT
157,interaction tory volunteers fcp volunteers witnessed today one demanding float moved back parade ableg cdnpoli,NOT
158,seems getting things done,NOT
159,added video playlist combat mon frere vs ismael et maga assassin vs david le boxer yfc,NOT
160,law changed make allegation days guilty proven innocent liberals mentally ill,OFF
161,straight different thank joe biden one also wonder outcome name antifa hill,NOT
162,game sucks donkey balls,OFF
163,yo real gorgeous,NOT
164,absolutely nail coffin hilliary,OFF
165,hope gets twitter tell amazing,NOT
166,gun control tried proven failure people vote democrat refuse admit reality gun control work,NOT
167,overwhelming liberals populated states make policy rest america clue california biggest population mean u shares values get clue hillary,NOT
168,partly fund antifa,NOT
169,dumbass,OFF
170,levistrauss wanting gun control many us wonder heck want freedoms taken away selective freedoms,OFF
171,point time think pres trump gives sh neither lol,OFF
172,k conservatives get polls vote red,NOT
173,donnie jr family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail,OFF
174,harvard harris poll conducted year found percent black americans said would like see one legal immigrants brought u year maga tcot,NOT
175,doubt officially become national socialist american workers party gone ppl like acting der sturmer antifa einsatzgruppen waffen ss detachment,NOT
176,oh carmen fricking cute,OFF
177,chelsea crazy mother,OFF
178,time conservatives binnedboris sent lyin lynton back australia,NOT
179,manifesto promised vote back think brexit would gone brits eu allowed vote referendum gerrymandered,NOT
180,metoo movement must extension antifa complete joke movement selective joe biden would court fonding girls camera,NOT
181,awesome thank give humanity hope,NOT
182,goober,NOT
183,another uninformed,NOT
184,forgot foster child,NOT
185,brainless dems wants us believe majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump,OFF
186,fucking way said,NOT
187,supposedly smart people think one moment audience people voted trump scared shitless hearing top brass speak way,NOT
188,surprised takes sick woman make type accusations kind find far left liberals praying really weak members gop like collins flake pull back support,NOT
189,california gun control direct result white people scared black panthers using right bear arms nra problem gun control,OFF
190,oct brazil citizens overwhelming voted government implementing strict gun control factor brazilian government still violates referendum everyday brazilians murdered w zero effective method self defense,NOT
191,claim without sin deceive truth us confess sins faithful forgive us sins purify us unrighteousness john,NOT
192,yet millions permit holding people carried legally concealed firearms day hurt anyone else yet want stronger gun control idiots wonderful media hype incidents fits agenda,OFF
193,yes hurt selves gun control freaks,OFF
194,get like guy every hysterical tweet,NOT
195,always shows dedication wonder best,NOT
196,bullshit regulations good keeps conservatives striping land abyss,OFF
197,owner culo,OFF
198,scarred life lol maga,OFF
199,fucking,OFF
200,confirm man left wing activist liar story changes hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga weakrinos republicans,OFF
201,reagan also signed first gun control bill governor ca,NOT
202,awe hogwash really need overstate obvious,NOT
203,years judge extensive backgrounds peep link trump boom conservatives rape liberals,NOT
204,assuming going get answer brainless liberal stooge ocasio cortez policy plan wakeupamerica america future vote republican surrender america dem morons maga,OFF
205,man seriously needs mental health treatment firearms confiscated longer danger others waiting gun control advocates add list school shootings buys caliber handguns,NOT
206,leftists showing yet vile,OFF
207,drunk crazy man,OFF
208,honored included fine patriots thank rena maga dean,NOT
209,please shut ontario seeing conservatives stand helping loose province never going anywhere way completely tune canadian mr harper oops mean mr scheer common mistake much alike,NOT
210,alone sexually assaulted fellow law student never reported think would believed however something happened made realize victim felt would made colossal mistake,NOT
211,liberals,NOT
212,another terrorist attack reported msm,NOT
213,dont know imma,NOT
214,money made u smarter,OFF
215,yes gilmer makes laugh much,NOT
216,u r lifeline,NOT
217,always thought h ford level headed guy guess note ford climate change summer fall winter spring happens every year get,NOT
218,yeah need made bullshit protestors antifa lol time epic beatdown,OFF
219,unfortunately right keep real assault weapon,NOT
220,real rocky oh god,NOT
221,thank everyone making possible amazing beautiful bears member olivers army appreciate everything make lives better,NOT
222,yeah got everything sorted needed sorted still taking small sips wine unusual emily guessed jj profile,NOT
223,way move haiti liberals seem make shit holes large cities go somewhere already shit hole work,OFF
224,yes,NOT
225,tried went nowhere pro gun control done,NOT
226,could killed many hunting rifle time vantage close hour police entered room actual shooting min making gun control going get people killed need smarter,NOT
227,aha yes see individual sense needing belong winning team constant conditioning self devaluation see strong sense q side left hillary antifa side well regardless think winning,NOT
228,oh know know talking see tweet repling lol,NOT
229,another demonstration gun free zones work brought liberal likely supports stricter gun control,NOT
230,pussy grabbing one wearing gloves handling food maga,OFF
231,plan environment even conservatives able understand able live planet make money,NOT
232,happens tell white liberals get congratulate woke put money mouth simple fact life breaks brains,NOT
233,antifa beat facsists try get change mind know lost cause try change fascist mind scare hiding demoralize stop spread hateful ideology forcing views others,OFF
234,soros root everything anything anti american money hollywood way islam antifa illegals,NOT
235,firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump,OFF
236,truly got idiotic thing ever seen,OFF
237,brigitte gabriel experienced life would nightmares sounding alarm americans buy book pay attention warning america,NOT
238,work want control population australian gun control effect homicides,OFF
239,poor baby,NOT
240,antifa democrats dixiecrats kkk,NOT
241,liberals ruin everything,OFF
242,forget telling primarily black liberal audience conservatives want put back chains,NOT
243,sad exploited also reputation destroyed read part antifa,NOT
244,happens let liberal get hold gun would good place start gun control ban liberals getting guns,OFF
245,look happy maga,OFF
246,trump proposes racial profiling tactic start thinking,NOT
247,introducing sweet sweet baby king always sooo nice try sit sofa never attacks,NOT
248,gone tho inputed bottom top first seconds tweet good tmart,NOT
249,exactly record basically saying president law noted gop fine rudy issues,NOT
250,kamalaharris new dem emperor clothes taxpayers funded unprecedented armed protection gun control sen kamala harris via,NOT
251,yet fat,OFF
252,plenty evidence guilty hill accused since conf hearings guilty innocence got bench times diff journalist call white supremacy alt right antifa pick,NOT
253,understand capablities despite proof economy hypothesis lied liberals entire life believing told liberal media made bill clinton look good could trump,NOT
254,oath must subpoenaed testify lifetime appointment stake please right time amp allow orrin hatch already made mind lying allowed question kind questions could invite lawsuit,NOT
255,best,NOT
256,joke gem alright racist phony right along racist phony thinks follow second account block speak truth could care less follower like big party care discriminate,OFF
257,indeed,NOT
258,little concerned q followers slowly become sort right wing sjw antifa thingie also excuse horrible english native languase much schooling sorry sucks,NOT
259,yep antifa literally hitler,NOT
260,wow hot,NOT
261,deserving woman happy,NOT
262,noticed lot conservatives thoroughly disingenuous engaging twitter,NOT
263,may forgotten moment eu citizens rights afforded us eu citizens believe shit goes head,OFF
264,modelling plenty women make shit tons money looking good,NOT
265,watching horizon show scientists discovered dna mix humans neanderthals would thought trump getting elected would proof enough maga,NOT
266,hope way watch tv ted spanking liberals always enjoyable,NOT
267,looked work history listed board leading age services aust lasa comes medicare local alliance ever hell,OFF
268,look mirror,NOT
269,sure,NOT
270,send party manifesto promised help families maybe remind duties hostileenvironment priceonlove skypefamilies,NOT
271,families separated border fact picture children cages liberals using show evil trump actually taken obama president,NOT
272,antifa people,NOT
273,peoples vote june people rejected craven worship stand majority contemptuously defying people amp ge manifesto amp supporting soros undermining democracy instead,NOT
274,cause bitches playing god aint give gift nothing,OFF
275,free bird return muslim homeland,NOT
276,mom speaks phone compose text brother angry yells phone telling type like brother able tell even yelling,NOT
277,melting snow flakes,NOT
278,victim remains seen liberals turned kavanaughs hearings circus first minute started,NOT
279,coming man threatened try kick turmps ass take set ball,OFF
280,shocked hear liberals want centralize power federal level,NOT
281,best best,NOT
282,whatilearnedtoday liberals win without lying,NOT
283,fast furious holder lol,NOT
284,getting scared ugly man,OFF
285,one shows progressive stand watch dislikes right left evenly know right start never seen show check youtube insightful maga,NOT
286,supreme court worthy,NOT
287,god hope,NOT
288,yes,NOT
289,bitch,OFF
290,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,OFF
291,ca prove causation either conservatives cda surely love idea bashing pm ca help think also egging former continue bashing boost fortune vainly,NOT
292,republican men picture men age law makers old sorry young republicans like young conservatives born years age,NOT
293,liberals meme sense humor knowledge meme ing philosophy,NOT
294,stunning,NOT
295,yea bitch right getting smacked,OFF
296,focus proud boys know real journalist kelly focus ones violence antifa want story focus journalists leftist activists constantly ignoring antifa attacks people,NOT
297,hahaha big thighs going make,OFF
298,called educating liberals,NOT
299,maga christineford trump tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater imperative make pattern revolting behavior clear piece painful piece indeed,OFF
300,maga people low iq gdp growth means literally nothing way translate higher income white familes individuals billions goes companies government jobs create labour pays less living wage lmao,OFF
301,wonna get paid pick energy people scream shout like kavanaugh hearing,NOT
302,bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,OFF
303,bitch built like could beat ass wants,OFF
304,trash,NOT
305,pathetic man,OFF
306,new psychology thinker think religion aggressive thought deeply think hinduism,NOT
307,shouldve played saint marie instead london docks saint ass,NOT
308,thank goodness mn passive aggressive love,NOT
309,empty prisons also say broke laws liberal logic,NOT
310,angel much love,NOT
311,asking arrest liberals butthurt months impeachable offense,NOT
312,tolerant left,NOT
313,must talking hateful conservatives,OFF
314,thats correct maga,OFF
315,show single case antifa actually murdered someone far right murdered someone charlottesville hypocrisy works ways,NOT
316,bobby fit thats exactly would say sure,NOT
317,white people thank jesus republicans amp ex crackheads say america hating liberals christians many ex dems thank jesus amp many former emmys watchers thank jesus daily country amp ability turn,NOT
318,skip realize saying become professional tweeter kind shitting sports casters many td receptions skip year,NOT
319,leftist wrong liberal colleges ppl students come unmask corrupt woman determined destroy good judge wants liberals courts,OFF
320,feeling touch first time,NOT
321,great mark great one levin candace great owens together team unbeatable sent liberals frenzy whole block liberal voters heads explode sadly alyssa milano wet pants great team,OFF
322,stratadata ai data hairball tdavis touring application cognitive machinelearning techniques speed governance data,OFF
323,grossly misinterpreting people across parties condemn action look bill davis brian mulroney see even conservatives think horrible decision,NOT
324,proposing scare tactics really meant said trump easily pull good maga republicans easily steal enough votes gop dem independents bring fresh breath rotten politics think,OFF
325,liberal would support liberal spent million get liberals elected office libfail,OFF
326,notice everyone avoids tweet might think referring comrade stalk everyone,NOT
327,weirdly vicious bitter extrapolate everyone access decent healthcare liberals think criminals free reveals pretty brutalist impenetrable mind,OFF
328,fuck game watching,OFF
329,grown,NOT
330,health amp nature threat uk us,NOT
331,kavanaugh need terms guilty people ones need terms let clue worried going make terrible impression believable trying manage concern,NOT
332,perpetuate colonialism going talk puertorico must puerto ricans panel jeezuz fucking christ difficult di sporaenresistencia,NOT
333,anonymous message antifa q qanon thegreatawakening commieclowns resistancerises resistance,NOT
334,antifa place society,NOT
335,two votes home west texas stoked inspiring,NOT
336,liberals trashy,OFF
337,grape,NOT
338,hello somebody need hyukjae danger watching fancams,NOT
339,never show much intelligence,NOT
340,yes saw say tapper kept basket kept coming back stupid answers finally gave think big fan policies stupid please,OFF
341,go anything fucked head,OFF
342,sure thinking,NOT
343,guy guy looks like sheila qanon maga greatawakening crocodile dundee,NOT
344,problem go back fast furious proof atf looking influence gun control us may preposterous government would fake sandy hook facilitating drug war somewhat similar,NOT
345,need know empty inside,OFF
346,oh dear sorry migraine well sending prayers,NOT
347,sister far kindest sweetest person alive use grandma passed may woman saint even song written mom saint written children course,NOT
348,liberals mentally unstable,OFF
349,authorized search warrant mr jean home racist drug test premediated murder slandered victim,OFF
350,would line putz know conservatives think,NOT
351,dude r u trolling ash rock z guy hurry see bjp govt state,NOT
352,said always praying even tho anything sure heart broken well events,NOT
353,one active threat could shot driving need gun control idea threat exists hypothetical excuse carry big scary gun,NOT
354,get life,NOT
355,containers hurricane donations found rotting puerto rico parking lot,NOT
356,followed fantastic maga patriots look forward following back thank amp wonderful day,NOT
357,suicide rate america similar countries strict gun control use u k jumping cliffs bridges common method,NOT
358,joining antifa,NOT
359,apparently durbin amnesia,NOT
360,canada regulated firearms since last quarter th century laws probably contributed canada many handguns circulation us,NOT
361,heard making waves,OFF
362,anita hill versus clarence thomas hope confirmation process end result maga,NOT
363,boi,NOT
364,rd time teacher career parent tell praying always consider win teacherlife prayalloftheprayers,NOT
365,welcome whysjamescryin,NOT
366,funny watching liberals sudden transparent warner problems leaks truth issues people big trouble warner likely one,NOT
367,brown like,NOT
368,ladies always make smile know mean,NOT
369,thursdaythoughts fuck liberals forever,OFF
370,scalp custer,NOT
371,proven gun control laws intended disarm law abiding citizens subvert criminal care gun laws,OFF
372,nothing abusive ever done anyone including women people country putting horrible stress worrying going easy says agree gabby,NOT
373,mxm nigger thinks give fuck,OFF
374,fake vote wants sympathy,OFF
375,ask antifa one like amp respect,NOT
376,kids different women american jobless men nigerian men bomb,OFF
377,banning ammunition guns still legal instate gun control keep watch firearms,NOT
378,dont anything trump conservatives refuse trade business,NOT
379,got signing book cute,NOT
380,russian agent disgrace hey old creep going die prison trump sold america russians time time years crimes scumbag,OFF
381,wow salinsky tactics,NOT
382,insanely ridiculous bullshit,OFF
383,nhs way populated country conservatives privertised nhs buys,NOT
384,surprised pigs worked neonazis unmask antifa protestors local coverage shit journos like cover rely investigative coverage,OFF
385,gun control anyone disarmhate,NOT
386,gun control practice reading comprehension first,NOT
387,beginning believe liberals sociopaths none people believe rule law evidence crime go confirmbrettkavanaughnow,NOT
388,americans lazy vote non voters skew liberal many liberals vote throw vote away rd party losers next question,OFF
389,ca wait see maga tat across chest picture mueller,NOT
390,sure call gated community private security firm bull connors though funny liberals love privatization police,OFF
391,wonder many children molested,OFF
392,amazing admire much always able raise ugliness amp hatred show us grace,NOT
393,oh england views gun control stopped mattering,OFF
394,antifa party amp sudden expect us believe care anyone besides nope,OFF
395,antifa caught guard getting confronted last person via,NOT
396,ouch,OFF
397,wonder apologized diamond silk calling minstrel show fired making faces,OFF
398,awesome kavanaugh shake gun control dads hand sorry kid killed gun future judges fault happened omg white people cities silly,OFF
399,john podesta spirit cooking pedo photo valerie jarrett rather compromising situation maga qanon drainthedeepstate draintheswamp,OFF
400,somebody terrified happen american public knows truth drainthedeepstate maga trump kag,NOT
401,love way pisses liberals,OFF
402,bet still sloane pretty awesome,NOT
403,auto correct gggrrr crazy witch,OFF
404,turned speech sounded like liberals becoming another nasty party personal attacks various individuals,OFF
405,sjw crap paedophilia hollywood tv movies gaming politics comics police publicauthorities like councils dwp dwpcrimes catholicchurch church vatican islam muslims used weapon missed anything nhs maybe mbga conservatives,NOT
406,thinks talk referee like expect everyone support treat specially,NOT
407,another negative democrat refuses disappear,OFF
408,elected mp could please explain still promoting ideas eu already rejected months go nothing appears moving onward like blind leading blind brexitshambles brexitmeansbrexit,OFF
409,getting paris climate agreement voters wanted obama committed us b towards agreement keep paying third world countries going broke help places like cal illegals either,NOT
410,gonna tip two new assholes,NOT
411,effected radiation killed hope mentions lady gaga witch since known immortal witch supreme,OFF
412,mike country living country constitutional republic democracy,NOT
413,election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victory,OFF
414,science ecology health nature problem one many gun control,NOT
415,interesting demoncraps even inventive enough create cartoons originally put republicans liberals koolaide drinkers always liberals also scum earth prove daily lies,OFF
416,believe president fake id,NOT
417,old article going relevant soon clintonfoundation maga clintoncrimes,NOT
418,needs go joe p,NOT
419,,NOT
420,think clue leadership liberals temperament year old children told intellectual brilliance goat please stop tweeting tds making look quite fool,NOT
421,gun control leftist would rather child responsible parent locked front door didnt let get involved neighbors dv shir could grab couldnt leavem shes lucky didnt find first,NOT
422,someone please show front center tonight unless get declass today maga,NOT
423,ajsjjsjdkkdjdk want much literally tell die obey,OFF
424,sorry hear loss friend,NOT
425,characterizations famous people funny black cue race baiters,NOT
426,dead necrophiliac well good know must suck chess never mind dimensional chess even think one move ahead let alone many change twitter handle dumbaf even ish,OFF
427,funny conservatives like one defected sure mind liberal defected integrity,NOT
428,get testy decide paid shill lot end hanging around qanon get used,OFF
429,could anyone want vote democrat wants open borders gun control,NOT
430,full blown temper tantrum manafort,NOT
431,trump sick man toxic mean spirited,OFF
432,va voters know right side gun issue gun control gun rights answer may help determine whether nra financed rep comstock wins reelection,OFF
433,oshaeterry thuglife criminal behaved ordinary disposable criminal maga maga magarallyrules texaspolice,OFF
434,watch care maga,NOT
435,full bunk,OFF
436,wait conservatives crying needing safe spaces sudden liberal elite college,NOT
437,hell boycott mcenroe much,OFF
438,respect constitution need driven office votedemsout votered therainmakers qanon maga wwgwga,NOT
439,anti antifa balls,OFF
440,believe correct chico wise chihuahua,NOT
441,im going hardcore bitch,OFF
442,hope right,NOT
443,xx,NOT
444,self serving stand reject mrs may de facto remain surrender begone insurgent hashtag,NOT
445,used signifing monkey heart played wife like hell,OFF
446,yeah think saying addiction life long battle regardless relapsed josh keep demons bay every day,NOT
447,words im speaking behalf ca sit idly people make ass feel like people better,NOT
448,think one mad didnt like called trying make bully,OFF
449,cute,NOT
450,disgusting rangers fan disgusting support breaking union proudtobebritish,OFF
451,almost years ago something changed gun control discussed nra nra went backing gun control america powerful lobby group,NOT
452,hopefully voters realise could ended shitshow well midterms,OFF
453,booom mac telling pay public sector properly magic money tree disaster means nhs crisis competing sectors,NOT
454,absolutely right smdh,NOT
455,thought said numbers someone lied,NOT
456,pitiful reason economy soaring office president trump get rid pen phone regulations legacy shattered knows speeches democrats message vote republican november,NOT
457,never everything color public safety concern would gun control e g assault rifles,NOT
458,rich og follower fans follow first hardly ever tweeted u get honors,NOT
459,fund raising dinner party oligarchs stories ripping old soviet union pieces personal gain light bulb moment many brexit lucrative endeavor,NOT
460,antifa types might even show sort like mini g donybrooke,NOT
461,charts overall fuck cardi got ways go catch niki,OFF
462,think missed replies im conference call anti jihadi muslim vets know would disagree gun control seems odd,OFF
463,look racist white liberals freaking said tom arnold white privileged,OFF
464,hubby rushed shakes fist flick pic thru evening feed em way still boss,OFF
465,reinforce fact much gutter,NOT
466,omg really frankoz liberals ruins everything defundpbs,OFF
467,lies top lies antifa democrats way,NOT
468,ca lump small l liberal conservatives far right nutbags,NOT
469,wow never thought would see left actually admitting want shut free speech unless least admitting facist create facist groups antifa kkk,OFF
470,rip lmao knows trying hard expose shits since ca never relate anyway,OFF
471,bullshit,OFF
472,non citizens looking free ride backs american taxpayer liberals looking votes like pyramid need bring new people bottom support top,NOT
473,bono gone dark side globalism,NOT
474,feel pretty fucked cuz started fine,OFF
475,ten commandments,NOT
476,definitely better previous administration still believe sane people vote head wallet many closet republicans chips voteredtosaveamerica ignore msm kag maga,NOT
477,excellent idea intelligent relentless,NOT
478,awful,OFF
479,know anything kkk although believe democrats fund like always think dems main terror group days antifa,OFF
480,liberal mp leona alleslev decision cross floor amp join conservatives would seem betrayal supporters consult voted seemingly legal imagine dougford decided cross floor amp become liberal premier,NOT
481,modern conservatives bright lot founding fathers slave owners wanted end slavery us principles far nuanced granular modern conservative principles shallow principles cannot withstand test time,NOT
482,absolutely useless everyone knows except media,OFF
483,ohio make sure get jim renacci elected senate america let maga together,NOT
484,anyone care dirtbag says,OFF
485,snowballs chance hell dimwit dem start taking losing like man err like uhm whatever identify today maga tired winning see november redwaverising ca stop scotuskavenaugh,OFF
486,asking liberals use reason logic look people suffering collective psychosis almost yrs get crazier hour educated elite batsht crazy sheep foot soldiers likely certifiable beyond help,NOT
487,guess knows much like watching go figure great night brett,NOT
488,hope serves beacon liberals feel way must hope must morals conscience,NOT
489,hope voters uk forget shambles made lack leadership left us doldrums betrayed voted leave rest uk brexitbritain,NOT
490,hopefully obesity catches,OFF
491,think one higher portion sidewalk,NOT
492,conservatives afraid weed think make love black people,NOT
493,shhhh proud u,NOT
494,could care less either one,NOT
495,stoned wheat crackers hell put stoned wheat crackers,OFF
496,remember ok ok tcot ccot maga kag qanon walkaway wwgwga kavanaugh,NOT
497,fordnation onpoli conservatives conservative onpc mean great power comes great responsibility invoking art overriding judicial processes overriding democracy,OFF
498,common sense gun control would indicate looney leftists possession firearms safety,NOT
